timestamp,machine_id,operator_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,seatbelt_status,safety_alert_triggered,provenance,machine_model,air_temperature_c,soil_type,soil_moisture_percent_vwc,interval_minutes,timezone,generator_version,generation_seed
2025-05-05 06:00:00,EXC001,OP1001,1531.0,4.4,9,34.1,Unfastened,No,synthetic,CAT 325,22.8,Clay,14.2,60.0,America/Chicago,data-001-v1,42
2025-05-05 07:00:00,EXC001,OP2001,1531.6,2.9,3,47.4,Fastened,No,synthetic,CAT 325,26.1,Gravel,5.0,60.0,America/Chicago,data-001-v1,42
2025-05-05 08:00:00,EXC001,OP1001,1532.2,4.8,6,36.0,Unfastened,No,synthetic,CAT 325,21.3,Gravel,16.6,60.0,America/Chicago,data-001-v1,42
2025-05-05 09:00:00,EXC001,OP2001,1532.9,0.6,0,47.3,Fastened,No,synthetic,CAT 325,16.9,Loam,24.3,60.0,America/Chicago,data-001-v1,42
2025-05-05 10:00:00,EXC001,OP1001,1533.8,5.9,12,24.9,Fastened,No,synthetic,CAT 325,12.4,Gravel,17.9,60.0,America/Chicago,data-001-v1,42
2025-05-05 11:00:00,EXC001,OP2001,1534.8,8.9,18,5.8,Fastened,No,synthetic,CAT 325,13.7,Sand,22.3,60.0,America/Chicago,data-001-v1,42
2025-05-05 12:00:00,EXC001,OP1001,1535.5,4.0,3,49.3,Fastened,No,synthetic,CAT 325,23.5,Clay,8.7,60.0,America/Chicago,data-001-v1,42
2025-05-05 13:00:00,EXC001,OP2001,1536.2,4.6,5,36.4,Fastened,No,synthetic,CAT 325,23.6,Sand,20.5,60.0,America/Chicago,data-001-v1,42
2025-05-05 14:00:00,EXC001,OP1001,1537.0,6.2,12,18.9,Fastened,No,synthetic,CAT 325,40.2,Loam,43.5,60.0,America/Chicago,data-001-v1,42
2025-05-05 15:00:00,EXC001,OP2001,1537.8,5.2,6,38.7,Fastened,No,synthetic,CAT 325,19.3,Sand,25.5,60.0,America/Chicago,data-001-v1,42
2025-05-05 16:00:00,EXC001,OP1001,1538.4,6.7,9,30.5,Fastened,No,synthetic,CAT 325,28.2,Gravel,45.2,60.0,America/Chicago,data-001-v1,42
2025-05-05 17:00:00,EXC001,OP2001,1539.0,3.2,5,38.4,Fastened,No,synthetic,CAT 325,12.1,Loam,40.9,60.0,America/Chicago,data-001-v1,42
2025-05-05 06:00:00,EXC002,OP1001,6200.7,0.6,0,45.6,Fastened,No,synthetic,CAT 325,16.6,Sand,54.3,60.0,America/Chicago,data-001-v1,42
2025-05-05 07:00:00,EXC002,OP2001,6201.3,5.8,10,25.8,Fastened,No,synthetic,CAT 325,25.0,Loam,23.2,60.0,America/Chicago,data-001-v1,42
2025-05-05 08:00:00,EXC002,OP1001,6202.0,5.1,3,49.4,Fastened,No,synthetic,CAT 325,17.6,Sand,36.7,60.0,America/Chicago,data-001-v1,42
2025-05-05 09:00:00,EXC002,OP2001,6202.8,6.8,16,12.6,Fastened,No,synthetic,CAT 325,11.1,Sand,37.2,60.0,America/Chicago,data-001-v1,42
2025-05-05 10:00:00,EXC002,OP1001,6203.5,6.5,13,19.3,Fastened,No,synthetic,CAT 325,22.0,Clay,38.2,60.0,America/Chicago,data-001-v1,42
2025-05-05 11:00:00,EXC002,OP2001,6204.4,8.3,18,3.0,Fastened,No,synthetic,CAT 325,20.1,Loam,54.1,60.0,America/Chicago,data-001-v1,42
2025-05-05 12:00:00,EXC002,OP1001,6205.0,0.9,0,54.1,Fastened,No,synthetic,CAT 325,20.7,Sand,32.1,60.0,America/Chicago,data-001-v1,42
2025-05-05 13:00:00,EXC002,OP2001,6205.6,6.3,10,32.0,Fastened,No,synthetic,CAT 325,18.5,Gravel,60.0,60.0,America/Chicago,data-001-v1,42
2025-05-05 14:00:00,EXC002,OP1001,6206.3,4.9,9,31.7,Unfastened,Yes,synthetic,CAT 325,33.3,Loam,67.6,60.0,America/Chicago,data-001-v1,42
2025-05-05 15:00:00,EXC002,OP2001,6207.0,6.0,8,31.8,Fastened,No,synthetic,CAT 325,19.0,Gravel,40.5,60.0,America/Chicago,data-001-v1,42
2025-05-05 16:00:00,EXC002,OP1001,6207.6,6.0,7,37.8,Fastened,No,synthetic,CAT 325,12.5,Gravel,28.7,60.0,America/Chicago,data-001-v1,42
2025-05-05 17:00:00,EXC002,OP2001,6208.4,3.6,5,39.9,Fastened,No,synthetic,CAT 325,14.3,Clay,54.2,60.0,America/Chicago,data-001-v1,42
2025-05-06 06:00:00,EXC001,OP1001,1539.6,4.8,3,41.6,Fastened,No,synthetic,CAT 325,19.9,Gravel,68.1,60.0,America/Chicago,data-001-v1,42
2025-05-06 07:00:00,EXC001,OP2001,1540.4,3.7,6,37.7,Fastened,No,synthetic,CAT 325,19.5,Loam,54.3,60.0,America/Chicago,data-001-v1,42
2025-05-06 08:00:00,EXC001,OP1001,1541.2,7.8,15,16.1,Fastened,No,synthetic,CAT 325,17.0,Loam,24.5,60.0,America/Chicago,data-001-v1,42
2025-05-06 09:00:00,EXC001,OP2001,1541.8,4.8,4,45.3,Fastened,No,synthetic,CAT 325,15.9,Sand,39.5,60.0,America/Chicago,data-001-v1,42
2025-05-06 10:00:00,EXC001,OP1001,1542.5,9.6,18,12.6,Fastened,No,synthetic,CAT 325,28.2,Clay,45.9,60.0,America/Chicago,data-001-v1,42
2025-05-06 11:00:00,EXC001,OP2001,1543.2,6.3,10,29.2,Fastened,No,synthetic,CAT 325,20.9,Gravel,49.4,60.0,America/Chicago,data-001-v1,42
2025-05-06 12:00:00,EXC001,OP1001,1543.8,2.0,3,50.6,Fastened,No,synthetic,CAT 325,26.3,Sand,47.4,60.0,America/Chicago,data-001-v1,42
2025-05-06 13:00:00,EXC001,OP2001,1544.5,6.2,9,31.6,Fastened,No,synthetic,CAT 325,19.8,Loam,9.7,60.0,America/Chicago,data-001-v1,42
2025-05-06 14:00:00,EXC001,OP1001,1545.1,4.4,5,41.0,Fastened,No,synthetic,CAT 325,11.6,Loam,33.8,60.0,America/Chicago,data-001-v1,42
2025-05-06 15:00:00,EXC001,OP2001,1545.8,3.5,5,38.3,Fastened,No,synthetic,CAT 325,21.1,Gravel,26.4,60.0,America/Chicago,data-001-v1,42
2025-05-06 16:00:00,EXC001,OP1001,1546.6,3.0,4,41.5,Fastened,No,synthetic,CAT 325,21.4,Clay,48.5,60.0,America/Chicago,data-001-v1,42
2025-05-06 17:00:00,EXC001,OP2001,1547.4,4.9,11,22.2,Fastened,No,synthetic,CAT 325,12.9,Loam,45.5,60.0,America/Chicago,data-001-v1,42
2025-05-06 06:00:00,EXC002,OP1001,6209.2,8.4,16,11.4,Fastened,No,synthetic,CAT 325,18.2,Loam,21.9,60.0,America/Chicago,data-001-v1,42
2025-05-06 07:00:00,EXC002,OP2001,6209.8,4.8,6,39.0,Fastened,No,synthetic,CAT 325,21.6,Gravel,25.3,60.0,America/Chicago,data-001-v1,42
2025-05-06 08:00:00,EXC002,OP1001,6210.4,4.5,5,43.4,Fastened,No,synthetic,CAT 325,17.2,Sand,60.3,60.0,America/Chicago,data-001-v1,42
2025-05-06 09:00:00,EXC002,OP2001,6211.1,1.0,0,50.7,Fastened,Yes,synthetic,CAT 325,19.4,Sand,12.2,60.0,America/Chicago,data-001-v1,42
2025-05-06 10:00:00,EXC002,OP1001,6211.7,0.6,0,52.7,Fastened,No,synthetic,CAT 325,23.2,Gravel,40.7,60.0,America/Chicago,data-001-v1,42
2025-05-06 11:00:00,EXC002,OP2001,6212.3,4.7,5,44.9,Unfastened,Yes,synthetic,CAT 325,26.1,Gravel,35.7,60.0,America/Chicago,data-001-v1,42
2025-05-06 12:00:00,EXC002,OP1001,6212.8,0.8,0,50.5,Fastened,No,synthetic,CAT 325,29.6,Gravel,30.1,60.0,America/Chicago,data-001-v1,42
2025-05-06 13:00:00,EXC002,OP2001,6213.6,8.5,18,3.4,Fastened,No,synthetic,CAT 325,18.3,Gravel,50.9,60.0,America/Chicago,data-001-v1,42
