task_id,task_type,weather,operator_skill,machine_age_years,estimated_minutes,actual_minutes,provenance,air_temperature_c,soil_type,soil_moisture_percent_vwc,machine_id,operator_id,started_at,generator_version,generation_seed
T0488,Grading,Rainy,Expert,1.9,39.0,49.0,synthetic,31.1,Gravel,44.7,EXC001,OP2001,2025-05-05T10:29:00Z,data-001-v1,42
T0387,Material Loading,Rainy,Expert,3.9,32.0,32.0,synthetic,23.0,Loam,66.3,EXC001,OP2001,2025-05-05T11:19:00Z,data-001-v1,42
T0310,Trenching,Windy,Expert,5.9,42.0,47.0,synthetic,42.2,Gravel,30.7,EXC002,OP1001,2025-05-05T11:31:00Z,data-001-v1,42
T0593,Demolition,Windy,Expert,2.9,78.0,89.0,synthetic,23.8,Sand,23.4,EXC001,OP1001,2025-05-05T12:24:00Z,data-001-v1,42
T0238,Trenching,Windy,Beginner,2.4,45.0,62.0,synthetic,35.2,Loam,53.3,EXC001,OP1001,2025-05-05T12:25:00Z,data-001-v1,42
T0447,Grading,Sunny,Intermediate,1.8,40.0,39.0,synthetic,25.6,Sand,26.4,EXC001,OP2001,2025-05-05T12:54:00Z,data-001-v1,42
T0483,Grading,Rainy,Expert,3.8,32.0,43.0,synthetic,34.3,Clay,21.9,EXC001,OP2001,2025-05-05T13:00:00Z,data-001-v1,42
T0135,Earth Excavation,Windy,Beginner,3.6,59.0,103.0,synthetic,22.3,Gravel,10.0,EXC001,OP1001,2025-05-05T15:02:00Z,data-001-v1,42
T0291,Trenching,Rainy,Expert,3.0,45.0,54.0,synthetic,15.2,Clay,67.1,EXC001,OP2001,2025-05-05T15:22:00Z,data-001-v1,42
T0203,Earth Excavation,Windy,Expert,2.9,57.0,67.0,synthetic,7.4,Clay,5.0,EXC001,OP2001,2025-05-05T16:26:00Z,data-001-v1,42
T0533,Demolition,Windy,Beginner,1.9,86.0,140.0,synthetic,43.4,Loam,45.7,EXC001,OP1001,2025-05-06T06:29:00Z,data-001-v1,42
T0112,Earth Excavation,Rainy,Beginner,4.5,50.0,102.0,synthetic,36.1,Loam,50.0,EXC002,OP2001,2025-05-06T07:52:00Z,data-001-v1,42
T0159,Earth Excavation,Cloudy,Intermediate,4.9,62.0,79.0,synthetic,21.1,Clay,11.0,EXC002,OP1001,2025-05-06T08:35:00Z,data-001-v1,42
T0313,Material Loading,Sunny,Beginner,5.7,30.0,30.0,synthetic,32.1,Loam,53.4,EXC002,OP1001,2025-05-06T09:11:00Z,data-001-v1,42
T0512,Demolition,Sunny,Beginner,2.6,82.0,114.0,synthetic,19.1,Loam,31.5,EXC001,OP1001,2025-05-06T09:11:00Z,data-001-v1,42
T0371,Material Loading,Windy,Intermediate,1.6,30.0,45.0,synthetic,33.6,Sand,33.5,EXC001,OP1001,2025-05-06T09:38:00Z,data-001-v1,42
T0178,Earth Excavation,Sunny,Expert,5.8,55.0,56.0,synthetic,33.0,Clay,32.1,EXC002,OP1001,2025-05-06T11:15:00Z,data-001-v1,42
